ID NurPenBatch SowID Nur2ADG_Adj Nur2ADG
0001 1B_D04 1B_1715 0.308716705882353 0.411764705882353
0002 1B_D04 1B_1642 0.313400705882353 0.411764705882353
0004 1B_D04 1B_2150 0.460459529411765 0.558823529411765
0005 1B_D04 1B_1980 0.636930117647059 0.735294117647059
0006 1B_D04 1B_1902 NA NA
0007 1B_D04 1B_2150 0.431047764705882 0.529411764705882
0009 1B_D02 1B_1902 0.376908235294118 0.470588235294118
0010 1B_D02 1B_1885 0.519283058823529 0.617647058823529
0011 1B_D02 1B_2097 0.396952 0.5
0012 1B_D02 1B_1902 0.40632 0.5
0013 1B_D02 1B_1643 0.367540235294118 0.470588235294118
0014 1B_D02 1B_2150 0.489871294117647 0.588235294117647
0015 1B_B06 1B_1980 0.489871294117647 0.588235294117647
0016 1B_B06 1B_1980 0.460459529411765 0.558823529411765
0017 1B_B06 1B_2048 0.401636 0.5
0018 1B_B06 1B_1642 0.283988941176471 0.382352941176471
0019 1B_B06 1B_2223 0.372224235294118 0.470588235294118
0020 1B_B06 1B_1486 0.342812470588235 0.441176470588235
0021 1B_B06 1B_1643 0.308716705882353 0.411764705882353
0022 1B_B04 1B_2223 0.372224235294118 0.470588235294118
0023 1B_B04 1B_2154 0.465143529411765 0.558823529411765
0024 1B_B04 1B_2223 0.460459529411765 0.558823529411765
0025 1B_B04 1B_1870 0.431047764705882 0.529411764705882
0026 1B_B04 1B_2065 0.40632 0.5
0027 1B_B04 1B_2239 0.136930117647059 0.235294117647059
0028 1B_B04 1B_1486 0.283988941176471 0.382352941176471
0029 1B_B09 1B_2149 0.0827905882352941 0.176470588235294
0030 1B_B09 1B_1520 0.376908235294118 0.470588235294118
0031 1B_B09 1B_1784 0.229849411764706 0.323529411764706
0032 1B_B09 1B_2048 0.136930117647059 0.235294117647059
0033 1B_B09 1B_1780 0.367540235294118 0.470588235294118
0034 1B_B09 1B_1620 -0.098364 0
0035 1B_B09 1B_1897 0.254577176470588 0.352941176470588
0036 1B_B07 1B_1715 0.455775529411765 0.558823529411765
0037 1B_B07 1B_1620 0.372224235294118 0.470588235294118
0038 1B_B07 1B_1885 0.431047764705882 0.529411764705882
0039 1B_B07 1B_2097 0.338128470588235 0.441176470588235
0040 1B_B07 1B_1615 0.376908235294118 0.470588235294118
0041 1B_B07 1B_1903 0.318084705882353 0.411764705882353
0042 1B_B07 1B_2048 0.342812470588235 0.441176470588235
0043 1B_D11 1B_2065 0.435731764705882 0.529411764705882
0044 1B_D11 1B_1903 0.347496470588235 0.441176470588235
0045 1B_D11 1B_2154 0.40632 0.5
0046 1B_D11 1B_1870 0.342812470588235 0.441176470588235
0047 1B_D11 1B_1615 0.435731764705882 0.529411764705882
0048 1B_D11 1B_1643 0.308716705882353 0.411764705882353
0049 1B_D11 1B_2239 NA NA
0050 1B_D09 1B_1897 0.313400705882353 0.411764705882353
0051 1B_D09 1B_1885 0.519283058823529 0.617647058823529
0052 1B_D09 1B_1715 0.220481411764706 0.323529411764706
0053 1B_D09 1B_1520 0.494555294117647 0.588235294117647
